TUCASEID,TEIO1ICD,TEIO1OCD,TRDTIND1,TRDTOCC1
20140706141353,5670,5700,22,17
20140706141673,5070,3050,22,10
20140706141709,-1,-1,-1,-1
20140706141864,-1,-1,-1,-1
20140706141872,7870,2440,40,8
20140706141986,8590,2720,44,9
20140706142127,-1,-1,-1,-1
20140706142412,7870,2000,40,6
20140706142423,-1,-1,-1,-1
20140706142439,7870,5700,40,17
20140706142541,7870,2200,40,8
20140707140817,-1,-1,-1,-1
20140707141720,6870,850,32,2
20140805141194,3960,5610,13,17
20140806141083,-1,-1,-1,-1
20140806142165,8190,3600,41,11
20140807140003,-1,-1,-1,-1
20140807140080,-1,-1,-1,-1
20140807140099,8680,4720,46,16
20140807140569,8190,3500,41,10
20140807140699,-1,-1,-1,-1
20140807140712,8470,2300,43,8
20140807140713,7870,2200,40,8
20140807140766,-1,-1,-1,-1
20140807140916,8190,3600,41,11
20140807141017,770,6260,4,19
20140807141030,-1,-1,-1,-1
20140807141073,-1,-1,-1,-1
20140807141096,8680,4110,46,13
20140807141124,-1,-1,-1,-1
20140807141126,-1,-1,-1,-1
20140807141222,7690,50,38,1
20140807141241,-1,-1,-1,-1
20140807141254,7690,4220,38,14
20140807141346,4870,4720,22,16
20140807141522,-1,-1,-1,-1
20140807141694,-1,-1,-1,-1
20140807141902,-1,-1,-1,-1
20140807141904,8680,4150,46,13
20140807142055,-1,-1,-1,-1
20140807142241,-1,-1,-1,-1
20140807142425,-1,-1,-1,-1
20140807142528,7680,3930,38,12
20140808141385,5090,4720,22,16
20140808142089,8090,2010,42,6
20140808142341,8190,1650,41,5
20140907140613,-1,-1,-1,-1
20140907140775,6390,9000,23,22
20140907141797,8680,4020,46,13
20140907142157,7860,2540,40,8
20140908140064,3875,7700,11,21
20140908140715,-1,-1,-1,-1
20140908140813,-1,-1,-1,-1
20140908140850,-1,-1,-1,-1
20140908140991,6570,4720,26,16
20140908141039,7070,410,34,1
20140908141042,8680,4110,46,13
20140908141409,7870,2200,40,8
20140908141509,7190,9130,35,22
20140908141657,7870,7540,40,20
20140908141709,7870,5940,40,17
20140908141760,-1,-1,-1,-1
20140908141811,7870,2200,40,8
20140908141866,-1,-1,-1,-1
20140908141961,8680,4720,46,16
20140908142111,-1,-1,-1,-1
20140908142217,-1,-1,-1,-1
20140908142250,7770,1300,38,4
20140908142266,-1,-1,-1,-1
20140908142346,8680,4110,46,13
20140908142378,7590,2145,38,7
20140909140683,770,1460,4,4
20140909140864,-1,-1,-1,-1
20140909141534,8180,3500,42,10
20140909141615,8680,4010,46,13
20140909141756,7860,2310,40,8
20140909141838,4270,5240,21,17
20140909142470,-1,-1,-1,-1
20141007140934,8590,4620,44,15
20141007141327,-1,-1,-1,-1
20141007141849,8470,4600,43,15
20141008140635,6890,5240,32,17
20141008140674,8770,4220,47,14
20141008140737,4970,4030,22,13
20141008140880,-1,-1,-1,-1
20141008141121,-1,-1,-1,-1
20141008141269,6670,5240,27,17
20141009140044,-1,-1,-1,-1
20141009140188,-1,-1,-1,-1
20141009140863,-1,-1,-1,-1
20141009140877,7380,1105,36,3
20141009140884,-1,-1,-1,-1
20141009140893,8680,4030,46,13
20141009141208,-1,-1,-1,-1
20141009141336,-1,-1,-1,-1
20141009141364,8680,310,46,1
20141009141413,5080,3520,22,10
20141009141512,8190,3500,41,10
20141009141740,8370,4610,43,15
20141009141772,8180,9720,42,22
20141009141915,8680,4110,46,13
20141009141956,8470,2300,43,8
20141009141961,5370,4050,22,13
20141009142137,-1,-1,-1,-1
20141009142163,-1,-1,-1,-1
20141009142279,-1,-1,-1,-1
20141009142338,-1,-1,-1,-1
20141010141104,-1,-1,-1,-1
20141010141193,8680,4040,46,13
20141010142361,5480,4760,22,16
20141109140645,8370,3255,43,10
20141109140687,-1,-1,-1,-1
20141110140080,7890,2340,40,8
20141110140114,-1,-1,-1,-1
20141110140149,7490,4900,36,16
20141110140703,-1,-1,-1,-1
20141110140755,3570,7750,10,21
20141110140866,7480,3420,36,10
20141110140902,-1,-1,-1,-1
20141110140971,-1,-1,-1,-1
20141110141016,8370,4610,43,15
20141110141043,7860,2310,40,8
20141110141081,8190,3320,41,10
20141110141101,8680,4110,46,13
